cdc-center |127.0.0.1 |2025-04-25 13:37:39.499 |  WARN | main | com.baomidou.mybatisplus.core.toolkit.TableInfoHelper : 250 | Warn: Could not find @TableId in Class: com.panda.cdc.dao.entity.MCdcTenantsDepartment.
cdc-center |127.0.0.1 |2025-04-25 13:37:39.677 |  WARN | main | com.baomidou.mybatisplus.core.toolkit.TableInfoHelper : 250 | Warn: Could not find @TableId in Class: com.panda.cdc.dao.entity.MCdcUser.
cdc-center |127.0.0.1 |2025-04-25 13:37:40.014 | DEBUG | main | org.hibernate.validator.internal.engine.resolver.TraversableResolvers : 60 | Cannot find javax.persistence.Persistence on classpath. Assuming non JPA 2 environment. All properties will per default be traversable.
cdc-center |127.0.0.1 |2025-04-25 13:37:40.017 | DEBUG | main | org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator : 89 | Loaded expression factory via original TCCL
cdc-center |127.0.0.1 |2025-04-25 13:37:40.020 | DEBUG | main | org.hibernate.validator.internal.engine.resolver.TraversableResolvers : 60 | Cannot find javax.persistence.Persistence on classpath. Assuming non JPA 2 environment. All properties will per default be traversable.
cdc-center |127.0.0.1 |2025-04-25 13:37:40.022 | DEBUG | main | org.hibernate.validator.internal.engine.ConfigurationImpl : 148 | Setting custom MessageInterpolator of type org.springframework.validation.beanvalidation.LocaleContextMessageInterpolator
cdc-center |127.0.0.1 |2025-04-25 13:37:40.023 | DEBUG | main | org.hibernate.validator.internal.engine.ConfigurationImpl : 180 | Setting custom ConstraintValidatorFactory of type org.springframework.validation.beanvalidation.SpringConstraintValidatorFactory
cdc-center |127.0.0.1 |2025-04-25 13:37:40.023 | DEBUG | main | org.hibernate.validator.internal.engine.ConfigurationImpl : 194 | Setting custom ParameterNameProvider of type org.springframework.validation.beanvalidation.LocalValidatorFactoryBean$1
cdc-center |127.0.0.1 |2025-04-25 13:37:40.026 | DEBUG | main | org.hibernate.validator.internal.xml.config.ValidationXmlParser : 120 | Trying to load META-INF/validation.xml for XML based Validator configuration.
cdc-center |127.0.0.1 |2025-04-25 13:37:40.027 | DEBUG | main | org.hibernate.validator.internal.xml.config.ResourceLoaderHelper : 53 | Trying to load META-INF/validation.xml via user class loader
cdc-center |127.0.0.1 |2025-04-25 13:37:40.028 | DEBUG | main | org.hibernate.validator.internal.xml.config.ResourceLoaderHelper : 60 | Trying to load META-INF/validation.xml via TCCL
cdc-center |127.0.0.1 |2025-04-25 13:37:40.029 | DEBUG | main | org.hibernate.validator.internal.xml.config.ResourceLoaderHelper : 66 | Trying to load META-INF/validation.xml via Hibernate Validator's class loader
cdc-center |127.0.0.1 |2025-04-25 13:37:40.031 | DEBUG | main | org.hibernate.validator.internal.xml.config.ValidationXmlParser : 127 | No META-INF/validation.xml found. Using annotation based configuration only.
cdc-center |127.0.0.1 |2025-04-25 13:37:40.038 | DEBUG | main | org.hibernate.validator.internal.engine.ValidatorFactoryImpl : 578 | HV000234: Using org.springframework.validation.beanvalidation.LocaleContextMessageInterpolator as ValidatorFactory-scoped message interpolator.
cdc-center |127.0.0.1 |2025-04-25 13:37:40.039 | DEBUG | main | org.hibernate.validator.internal.engine.ValidatorFactoryImpl : 579 | HV000234: Using org.hibernate.validator.internal.engine.resolver.TraverseAllTraversableResolver as ValidatorFactory-scoped traversable resolver.
cdc-center |127.0.0.1 |2025-04-25 13:37:40.039 | DEBUG | main | org.hibernate.validator.internal.engine.ValidatorFactoryImpl : 580 | HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
cdc-center |127.0.0.1 |2025-04-25 13:37:40.039 | DEBUG | main | org.hibernate.validator.internal.engine.ValidatorFactoryImpl : 581 | HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
cdc-center |127.0.0.1 |2025-04-25 13:37:40.039 | DEBUG | main | org.hibernate.validator.internal.engine.ValidatorFactoryImpl : 582 | HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
cdc-center |127.0.0.1 |2025-04-25 13:37:40.236 |  INFO | main | org.springframework.scheduling.concurrent.ExecutorConfigurationSupport : 181 | Initializing ExecutorService 'applicationTaskExecutor'
cdc-center |127.0.0.1 |2025-04-25 13:37:40.981 |  INFO | main | org.springframework.cloud.function.context.catalog.BeanFactoryAwareFunctionRegistry : 276 | Looking up function 'null' with acceptedOutputTypes: []
cdc-center |127.0.0.1 |2025-04-25 13:37:41.032 |  INFO | main | org.springframework.scheduling.concurrent.ExecutorConfigurationSupport : 181 | Initializing ExecutorService 'taskScheduler'
cdc-center |127.0.0.1 |2025-04-25 13:37:41.037 | DEBUG | main | org.hibernate.validator.internal.engine.resolver.TraversableResolvers : 60 | Cannot find javax.persistence.Persistence on classpath. Assuming non JPA 2 environment. All properties will per default be traversable.
cdc-center |127.0.0.1 |2025-04-25 13:37:41.037 | DEBUG | main | org.hibernate.validator.internal.xml.config.ValidationXmlParser : 120 | Trying to load META-INF/validation.xml for XML based Validator configuration.
cdc-center |127.0.0.1 |2025-04-25 13:37:41.037 | DEBUG | main | org.hibernate.validator.internal.xml.config.ResourceLoaderHelper : 60 | Trying to load META-INF/validation.xml via TCCL
cdc-center |127.0.0.1 |2025-04-25 13:37:41.038 | DEBUG | main | org.hibernate.validator.internal.xml.config.ResourceLoaderHelper : 66 | Trying to load META-INF/validation.xml via Hibernate Validator's class loader
cdc-center |127.0.0.1 |2025-04-25 13:37:41.039 | DEBUG | main | org.hibernate.validator.internal.xml.config.ValidationXmlParser : 127 | No META-INF/validation.xml found. Using annotation based configuration only.
cdc-center |127.0.0.1 |2025-04-25 13:37:41.047 | DEBUG | main | org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator : 89 | Loaded expression factory via original TCCL
cdc-center |127.0.0.1 |2025-04-25 13:37:41.047 | DEBUG | main | org.hibernate.validator.internal.engine.ValidatorFactoryImpl : 578 | HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
cdc-center |127.0.0.1 |2025-04-25 13:37:41.047 | DEBUG | main | org.hibernate.validator.internal.engine.ValidatorFactoryImpl : 579 | HV000234: Using org.hibernate.validator.internal.engine.resolver.TraverseAllTraversableResolver as ValidatorFactory-scoped traversable resolver.
cdc-center |127.0.0.1 |2025-04-25 13:37:41.048 | DEBUG | main | org.hibernate.validator.internal.engine.ValidatorFactoryImpl : 580 | HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
cdc-center |127.0.0.1 |2025-04-25 13:37:41.048 | DEBUG | main | org.hibernate.validator.internal.engine.ValidatorFactoryImpl : 581 | HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
cdc-center |127.0.0.1 |2025-04-25 13:37:41.048 | DEBUG | main | org.hibernate.validator.internal.engine.ValidatorFactoryImpl : 582 | HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
cdc-center |127.0.0.1 |2025-04-25 13:37:41.342 |  INFO | main | org.springframework.integration.monitor.IntegrationMBeanExporter : 773 | Registering MessageChannel errorChannel
cdc-center |127.0.0.1 |2025-04-25 13:37:41.446 |  INFO | main | org.springframework.integration.monitor.IntegrationMBeanExporter : 773 | Registering MessageChannel nullChannel
cdc-center |127.0.0.1 |2025-04-25 13:37:41.475 |  INFO | main | org.springframework.integration.monitor.IntegrationMBeanExporter : 791 | Registering MessageHandler errorLogger
cdc-center |127.0.0.1 |2025-04-25 13:37:41.514 |  INFO | main | org.springframework.integration.endpoint.EventDrivenConsumer : 107 | Adding {logging-channel-adapter:_org.springframework.integration.errorLogger} as a subscriber to the 'errorChannel' channel
cdc-center |127.0.0.1 |2025-04-25 13:37:41.514 |  INFO | main | org.springframework.integration.channel.AbstractSubscribableChannel : 64 | Channel 'cdc-center.errorChannel' has 1 subscriber(s).
cdc-center |127.0.0.1 |2025-04-25 13:37:41.514 |  INFO | main | org.springframework.integration.endpoint.AbstractEndpoint : 159 | started bean '_org.springframework.integration.errorLogger'
cdc-center |127.0.0.1 |2025-04-25 13:37:41.528 |  INFO | main | org.apache.juli.logging.DirectJDKLog : 173 | Starting ProtocolHandler ["http-nio-8255"]
cdc-center |127.0.0.1 |2025-04-25 13:37:41.552 |  INFO | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer : 204 | Tomcat started on port(s): 8255 (http) with context path ''
cdc-center |127.0.0.1 |2025-04-25 13:37:41.557 |  INFO | main | org.springframework.boot.StartupInfoLogger : 61 | Started CdcCenterApplication in 6.904 seconds (JVM running for 8.328)
